鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大肚區,房地(土地+建物),臺中市大肚區沙田路三段660巷1~30號,107.47,住,,,1050615,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050107,191.31,4,3,3,有,無,8500000,44431,,0.0,0,,RPQNMLRLPHLFFIL27CA
龍井區,土地,茄投段211~240地號,680.0,農,,,1050616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11800000,17353,,0.0,0,含未保存建物一棟,RPPNMLTLPHLFFIL37CA
大肚區,土地,追分段541~570地號,143.0,農,,,1050707,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,3357,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLMJQHLFFIL86CA
大肚區,房地(土地+建物),臺中市大肚區福利路152巷31~60號,101.48,住,,,1050706,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031020,185.39,3,2,3,有,無,9400000,50704,,0.0,0,,RPTNMLSJQHLFFIL57CA
大肚區,房地(土地+建物),臺中市大肚區沙田路二段132巷5弄1~30號,128.37,,鄉村區,乙種建築用地,1050628,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0691229,61.75,3,1,1,有,無,2100000,34008,,0.0,0,,RPQNMLKKQHLFFIL56CA
龍井區,土地,忠和段1201~1230地號,680.0,工,,,1050617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,29412,,0.0,0,,RPROMLMLPHLFFIL96CA
太平區,房地(土地+建物)+車位,臺中市太平區旱溪東路二段301~330號,14.97,住,,,1050702,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030106,120.78999999999999,2,2,1,有,有,6250000,51743,坡道平面,32.62,0,,RPSNMLPLPHLFFHL17CA
太平區,房地(土地+建物)+車位,臺中市太平區育賢路301~330號,16.11,商,,,1050605,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040901,167.64,3,2,2,有,有,7500000,44739,坡道平面,23.17,0,,RPUNMLQLPHLFFHL47CA
太平區,房地(土地+建物),臺中市太平區太文路71巷31~60號,93.33,住,,,1050531,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010119,182.47,5,3,4,有,無,16000000,87686,,0.0,0,,RPPNMLOJQHLFFHL66CA
太平區,房地(土地+建物),臺中市太平區建興路31~60號,99.0,住,,,1050530,土地1建物1車位0,一層，二層，三層，四層，騎樓，見其他登記事項,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0871009,288.76,5,3,4,有,無,9200000,31860,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLLKQHLFFHL56CA
