鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鼓山區,房地(土地+建物),高雄市鼓山區龍文街1~30號,8.03,商,,,1050617,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930913,72.15,3,2,1,有,有,5500000,76230,,0.0,0,含增建或未登記建物。,RPOOMLTKPHLFFAE38CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東二路481~510號,13.57,住,,,1050616,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931208,89.99000000000001,2,2,1,有,有,5300000,58895,,0.0,0,,RPPOMLTKPHLFFAE48CA
鼓山區,房地(土地+建物),高雄市鼓山區明誠三路421~450號,7.89,商,,,1050615,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950823,79.42,1,2,1,有,有,5380000,67741,,0.0,0,,RPROMLTKPHLFFAE68CA
鼓山區,房地(土地+建物),高雄市鼓山區瑞豐街151巷1~30號,27.8,住,,,1050617,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680808,84.35,3,2,2,有,無,2900000,34381,,0.0,0,,RPOPMLTKPHLFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區翠華路271~300號,30.09,住,,,1050707,土地1建物1車位2,十三層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050203,367.25,4,2,3,有,有,26560000,72321,坡道平面,0.0,0,,RPXQMLTKPHLFFAE86CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文忠路61~90號,11.16,商,,,1050706,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,118.97,2,2,2,有,有,10410000,87501,升降機械,19.84,0,,RPQNMLKLPHLFFAE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文忠路61~90號,10.11,商,,,1050706,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,109.05000000000001,2,2,2,有,有,9520000,87299,升降機械,9.92,0,,RPRNMLKLPHLFFAE77CA
鹽埕區,房地(土地+建物),高雄市鹽埕區鹽埕街91~120號,16.13,商,,,1050707,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730717,70.73,3,2,2,有,無,800000,11311,,0.0,0,有民情風俗因素之交易。,RPQNMLLLPHLFFAE77CA
前金區,房地(土地+建物),高雄市前金區市中一路91~120號,5.9,商,,,1050604,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,73.82,2,2,1,有,有,4180000,56624,,0.0,0,,RPXNMLLLPHLFFAE48CA
前金區,房地(土地+建物)+車位,高雄市前金區河東路151~180號,7.76,商,,,1050628,土地1建物2車位1,十三層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850215,202.16000000000003,0,0,0,有,有,10880000,53819,坡道機械,0.0,0,,RPUNMLRLPHLFFAE78CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路61~90號,16.34,住,,,1050629,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020805,171.14,3,1,2,有,有,15500000,90569,坡道平面,0.0,0,,RPVNMLTLPHLFFAE09CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文忠路61~90號,10.0,商,,,1050707,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,108.64,2,2,1,有,有,8550000,78700,升降機械,0.0,0,,RPVNMLOJQHLFFAE48CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路61~90號,8.95,商,,,1050708,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,98.47,2,2,1,有,有,7650000,77689,,0.0,0,,RPXNMLOJQHLFFAE68CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山二路25巷1~30號,50.0,商,,,1050620,土地1建物1車位0,全,三層,透天厝,,加強磚造,0600203,104.21,4,2,4,有,無,7350000,70531,,0.0,0,,RPRNMLPJQHLFFAE18CA
