鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區保儀路109巷21弄1~30號,29,住,,,1050604,土地1建物1車位0,陽台，二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,91.05,3,2,1,有,無,9600000,105437,,0,0,含增建或未登記建物。,RPXNMLSKPHLFFAA68CA
文山區,房地(土地+建物),臺北市文山區興隆路三段304巷31~60號,17.55,住,,,1050628,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,95.36,2,1,1,有,有,14000000,146812,,0,0,,RPRNMLTKPHLFFAA18CA
文山區,車位,臺北市文山區興隆路三段304巷31~60號,2.51,住,,,1050628,土地0建物0車位1,地下一層,七層,其他,見其他登記事項,鋼筋混凝土造,1030314,31.12,0,0,0,有,有,2000000,,坡道平面,0,2000000,,SPRNMLTKPHLFFAA28CA
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段361~390號,25.23,住,,,1050630,土地2建物1車位1,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,940701,203.45,4,2,2,有,有,12800000,62915,坡道平面,39.78,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。親友、員工或其他特殊關係間之交易。,RPTNMLTKPHLFFAA38CA
文山區,房地(土地+建物),臺北市文山區興隆路四段179巷1~30號,20.7,住,,,1050701,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.12,3,2,1,有,無,9800000,132218,,0,0,,RPUNMLKLPHLFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段241~270號,35.61,住,,,1050630,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991104,180.18,3,2,2,有,有,23000000,127650,坡道平面,0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。民國103年12月9日簽訂之預約買賣。此標的為軍眷住宅。,RPTOMLKLPHLFFAA67CA
文山區,房地(土地+建物),臺北市文山區興隆路四段29巷4弄31~60號,21.75,住,,,1050627,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710629,72.47,3,2,2,有,無,8000000,110391,,0,0,,RPPNMLPLPHLFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區政大二街260巷1~30號,62.48,住,,,1050409,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990730,156.94,2,2,2,有,有,16600000,105773,坡道平面,42.89,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。,RPUOMLSLPHLFFAA58CA
文山區,房地(土地+建物),臺北市文山區興德路20巷31~60號,13.49,商,,,1050608,土地2建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1040611,49.41,0,0,0,無,有,10200000,206436,,0,0,,RPROMLNJQHLFFAA67CA
文山區,房地(土地+建物),臺北市文山區興隆路二段211~240號,29.16,商,,,1050509,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,780508,198.68,3,0,1,有,有,25500000,128347,,0,0,,RPPNMLPJQHLFFAA57CA
